Ubigeo;Distrito;Y;X;Delito;Tasa D;Poblacion
150102;Ancon;-11.7764;-77.1703;530;0.00296477;42,124
150103;Ate;-12.0256;-76.9242;6630;0.037087589;672,160
150104;Barranco;-12.1494;-77.0247;2021;0.011305282;29,424
70102;Bellavista;-12.0625;-77.1317;1396;0.007809091;72625
150105;Brenna;-12.0567;-77.0536;2493;0.013945605;75,882
70101;Callao;-12.0603;-77.1492;8027;0.044902274;410,795
150106;Carabayllo;-11.8583;-77.0419;4601;0.025737556;322,936
70103;Carmen de La Legua;-12.0461;-77.0969;449;0.002511663;40,833
150107;Chaclacayo;-11.9783;-76.7642;651;0.003641632;44,890
150108;Chorrillos;-12.1742;-77.0247;6958;0.03892239;341,322
150109;Cieneguilla;-12.1178;-76.8125;253;0.001415258;50,486
150110;Comas;-11.95;-77.05;9051;0.050630433;545,685
150111;El Agustino;-12.0433;-76.9986;4305;0.024081761;198,366
150112;Independencia;-12.0008;-77.0522;6186;0.034603896;223,827
150113;Jesus Maria;-12.0697;-77.045;3732;0.020876453;72,804
150114;La Molina;-12.0875;-76.9339;1796;0.010046653;182,603
70104;La Perla;-12.0711;-77.1211;841;0.004704474;60,011
70105;La Punta;-12.0717;-77.1692;147;0.000822304;3,184
150115;La Victoria;-12.0653;-77.0308;7353;0.041131983;169,270
150101;Lima;-12.0467;-77.0322;13948;0.078023785;269,858
150116;Lince;-12.0811;-77.0306;1340;0.007495833;49,833
150117;Los Olivos;-11.9828;-77.0694;13090;0.073224215;390,742
150118;Lurigancho;-11.9372;-76.7036;2334;0.013056174;232,902
150119;Lurin;-12.2686;-76.8847;1476;0.008256604;90,818
150120;Magdalena del Mar;-12.0967;-77.0747;1383;0.00773637;55,786
70107;Mi Peru;-11.855;-77.125;494;0.002763389;63,542
150122;Miraflores;-12.1175;-77.0453;2715;0.015187452;82,898
150123;Pachacamac;-12.2286;-76.8597;1763;0.009862054;139,067
150124;Pucusana;-12.4825;-76.7964;195;0.001090811;18,284
150121;Pueblo Libre;-12.0733;-77.0631;2002;0.011198998;77,322
150125;Puente Piedra;-11.8464;-77.1058;4290;0.023997852;378,910
150126;Punta Hermosa;-12.3375;-76.8258;320;0.00179005;8,104
150127;Punta Negra;-12.3661;-76.7947;114;0.000637705;8,500
150128;Rimac;-12.0294;-77.0436;4031;0.022549031;165,451
150129;San Bartolo;-12.3883;-76.7806;152;0.000850274;8,200
150130;San Borja;-12.1078;-76.9989;4391;0.024562836;114,479
150131;San Isidro;-12.0989;-77.0344;2225;0.012446438;54,298
150132;San Juan de Lurigancho;-12.0244;-77.0025;12159;0.068016289;1,156,300
150133;San Juan de Miraflores;-12.1589;-76.9722;5402;0.030218274;422,389
150134;San Luis;-12.0728;-76.9975;2191;0.012256246;59,377
150135;San Martin de Porres;-12.0303;-77.0469;9093;0.050865377;741,417
150136;San Miguel;-12.09;-77.0864;1243;0.006953224;139,399
150137;Santa Anita;-12.0433;-76.985;1824;0.010203283;242,026
150138;Santa Maria del Mar;-12.4092;-76.7758;2;1.12E-05;1,721
150139;Santa Rosa;-11.7983;-77.1775;177;0.000990121;20,112
150140;Santiago de Surco;-12.1506;-77.0078;6380;0.035689113;363,183
150141;Surquillo;-12.1136;-77.0081;1016;0.005683407;92,908
70106;Ventanilla;-11.8989;-77.1422;3594;0.020104494;402,038
150142;Villa El Salvador;-12.2164;-76.9433;4143;0.023175548;489,583
150143;Villa Maria del Triunfo;-12.1572;-76.9528;7859;0.043962498;473,036
